Title,Description,Content Type,Genres
Save Me,Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.,TV Show,"International TV Shows, Korean TV Shows, TV Dramas"
Saverio Raimondo Il Satiro Parlante,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights.",Movie,Stand-Up Comedy
Saving Capitalism,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.,Movie,Documentaries
Savita Damodar Paranjpe,"When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister.",Movie,"Horror Movies, International Movies"
Say I Do,"In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week.",TV Show,"Reality TV, Romantic TV Shows"
Sayed the Servant,"While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme.",Movie,"Comedies, International Movies"
SCAMS,"Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Scare Tactics,This ghoulish but hilarious hidden-camera show from Syfy finds mischievous friends and family members setting up unsuspecting victims for elaborate pranks that use high-quality makeup and special effects to unleash their worst fears upon them.,TV Show,"Reality TV, TV Comedies, TV Horror"
Scarecrow,"When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed.",Movie,"Comedies, International Movies"
Scary Movie 5,"Taking aim at not only the horror genre but also films like ""Black Swan"" and ""Inception,"" ""Scary Movie 5"" widens the franchise's scope of mockery.",Movie,"Comedies, Horror Movies"
Schitts Creek,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek.",TV Show,TV Comedies
School Life,"In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own.",Movie,"Comedies, Dramas, International Movies"
Schubert In Love,"The last of his family line, Olaf Schubert doesn't have time for a girlfriend but dutifully searches for one when his father demands offspring.",Movie,"Comedies, International Movies"
Schulz Saves America,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies"
Scissor Seven,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",TV Show,"International TV Shows, TV Action & Adventure, TV Comedies"
ScoobyDoo Mystery Incorporated,"In this animated update of the cartoon classic, Scooby-Doo, Shaggy and their pals solve spooky mysteries in a hamlet bedeviled by supernatural bedlam.",TV Show,"Kids' TV, TV Comedies"
Scorpion King 5 Book of Souls,The Scorpion King joins forces with a Nubian princess in an all-or-nothing fight to stop a warlord from claiming the souls of the vanquished.,Movie,"Action & Adventure, Sci-Fi & Fantasy"
Scott Pilgrim vs the World,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.",Movie,"Action & Adventure, Comedies, Cult Movies"
Scream,"In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past.",TV Show,"Crime TV Shows, TV Horror, TV Mysteries"
Screwball,A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,Movie,"Documentaries, Sports Movies"
SDU Sex Duties Unit,Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.,Movie,"Comedies, International Movies"
Search Party,"Two guys hope to reunite their friend with his runaway bride, unaware that he's been carjacked, stripped and stranded in the Mexican desert.",Movie,Comedies
Searching For Sheela,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh communeâs spokesperson returns to India after decades for an interview tour.,Movie,"Documentaries, International Movies"
Seaspiracy,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species â and uncovers alarming global corruption.",Movie,Documentaries
Sebastian Maniscalco Stay Hungry,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special.",Movie,Stand-Up Comedy
Sebastian Maniscalco Whats Wrong with People,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special.",Movie,Stand-Up Comedy
Sebastian Maniscalco Why Would You Do That,"Sebastian Maniscalco delivers an expressive stand-up at the legendary Beacon Theatre on Whole Foods, family nicknames and dodging obnoxious neighbors.",Movie,Stand-Up Comedy
Sebastin Marcelo Wainraich,"Argentine comedian SebastiÃ¡n Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",Movie,Stand-Up Comedy
Second 20s,"Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Secret City,A student's protest leads to a government scandal that has personal and professional repercussions for one of Australia's toughest journalists.,TV Show,"International TV Shows, TV Dramas, TV Mysteries"
Secret Magic Control Agency,"Hansel and Gretel of fairy tale fame â now acting as secret agents â must use magic, clever thinking and teamwork on a mission to find a missing king.",Movie,"Children & Family Movies, Comedies"
Secret Obsession,"When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over.",Movie,Thrillers
Secret of Success,An aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in â but not without consequences.,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies"
Secret of the Nile,"When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue.",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
Secret Superstar,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,Movie,"Dramas, International Movies, Music & Musicals"
Secreto bien guardado,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel.",TV Show,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Secrets in the Hot Spring,"When three teen outcasts arrive at a hot springs hotel to help run things, creepy incidents prompt comical efforts to find what lurks in their midst.",Movie,"Comedies, Horror Movies, International Movies"
Secrets of Great British Castles,Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,TV Show,"British TV Shows, Docuseries, International TV Shows"
Secrets of the Saqqara Tomb,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find.",Movie,Documentaries
Security,"After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies.",Movie,"Dramas, International Movies, Thrillers"
See You in Time,A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
See You Yesterday,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",Movie,"Dramas, Sci-Fi & Fantasy, Thrillers"
Seed of Chucky,"The son of devilish dolls Chucky and Tiffany resurrects his parents, unleashing a new wave of murderous mayhemâ this time in Hollywood.",Movie,"Cult Movies, Horror Movies"
Seeing Allred,"Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business.",Movie,Documentaries
Sei,"An aspiring yet aimless actor takes over his ailing father's job as an ambulance driver, unwittingly getting involved in an organ-trafficking network.",Movie,"Action & Adventure, Comedies, Dramas"
Seis Manos,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice.",TV Show,"Anime Series, Crime TV Shows"
Selection Day,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,TV Show,"International TV Shows, TV Dramas, Teen TV Shows"
Selena The Series,Iconic Mexican-American performer Selena rises to fame as she and her family make sacrifices in order to achieve their lifelong dreams.,TV Show,TV Dramas
Self Made Inspired by the Life of Madam CJ Walker,An African American washerwoman rises from poverty to build a beauty empire and become the first female self-made millionaire. Based on a true story.,TV Show,TV Dramas
Selfless,"A dying tycoon has his consciousness transplanted into the body of a healthy young man, only to make a troubling discovery about the body's origin.",Movie,"Sci-Fi & Fantasy, Thrillers"
Selling Sunset,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,TV Show,Reality TV
Semana Santa,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll.",Movie,"Dramas, International Movies"
Seora Acero,"When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son.",TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Sense8,"From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives.",TV Show,"Crime TV Shows, TV Dramas, TV Mysteries"
Sentinelle,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",Movie,"Action & Adventure, Dramas, International Movies"
Seoul Searching,Teens of Korean descent who were born and raised in other countries travel to Seoul to learn about their cultural heritage at a summer camp in 1986.,Movie,"Comedies, Dramas, International Movies"
Septembers of Shiraz,"In post-revolution Tehran, a wealthy Jewish businessman is summarily jailed and tortured, but along with his wife, he fights for answers and freedom.",Movie,"Dramas, Thrillers"
Sergio,"Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.",Movie,"Dramas, Independent Movies"
Sergio,"This moving documentary profiles Sergio Vieira de Mello, the charismatic U.N. High Commissioner of Human Rights, who was killed by terrorists in Iraq.",Movie,Documentaries
Serial Killer with Piers Morgan,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",TV Show,"British TV Shows, Crime TV Shows, Docuseries"
Serious Men,"When a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved, his ruse could be especially dangerous for his young son.",Movie,"Comedies, Dramas, International Movies"
Seriously Single,"While her free-living bestie urges her to embrace singlehood, a commitment-craving social media expert can't stop following the life of a former love.",Movie,"Comedies, International Movies, Romantic Movies"
Set It Up,"In desperate need of a break from the office, two beleaguered assistants team up to trick their workaholic bosses into falling in love.",Movie,"Comedies, Romantic Movies"
Set Off,"When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps.",Movie,"Dramas, International Movies"
Seth Meyers Lobby Baby,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,Movie,Stand-Up Comedy
Seth Rogens Hilarity for Charity,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth.",Movie,Stand-Up Comedy
SETHUM AAYIRAM PON,"Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.",Movie,"Dramas, Independent Movies, International Movies"
Settai,"Asked to deliver a package for a friend, Madhu gets her fiancÃ©, Jayaganthan, to take care of it, and he then passes the task to one of his roommates.",Movie,"Comedies, International Movies, Music & Musicals"
Seven,"After his affluent father passes, a man must survive seven days in the Nigerian neighborhood of Ajegunle, where obstacles keep him from his inheritance.",Movie,"Dramas, International Movies"
Seven Tamil,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",Movie,"Dramas, International Movies, Romantic Movies"
Seven Telugu,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",Movie,"Dramas, International Movies, Romantic Movies"
Seven and a half dates,"Engrossed in her career, a young woman reluctantly yields to her father's plan to set her up on 10 dates to find a suitable husband.",Movie,"Dramas, International Movies, Romantic Movies"
Seven and Me,A little girl discovers sheâs the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.,TV Show,Kids' TV
Seven in Heaven,Two teenagers step into a secret closet and emerge in a terrifying alternate reality. They must find their way back before the door shuts forever.,Movie,Horror Movies
Seven Pounds,"Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance.",Movie,"Dramas, Romantic Movies"
Seven Seconds,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,TV Show,"Crime TV Shows, TV Dramas"
Seven Souls in the Skull Castle 2011,"In this cinematic distillation of the electrifying stage performance, seven spirited souls take on the dark threat growing in shadowy Skull Castle.",Movie,"Action & Adventure, Dramas, International Movies"
Seven Souls in the Skull Castle Season Bird,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this âBirdâ version of the dynamic show performed in a 360Âº theater.",Movie,"Action & Adventure, Dramas, International Movies"
Seven Souls in the Skull Castle Season Flower,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this âFlowerâ version of the bold show performed in a 360Âº theater.",Movie,"Action & Adventure, Dramas, International Movies"
Seven Souls in the Skull Castle Season Moon Jogen,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the âMoon Jogenâ version of the show, performed in a 360Âº theater.",Movie,"Action & Adventure, Dramas, International Movies"
Seven Souls in the Skull Castle Season Moon Kagen,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in the âMoon Kagenâ version of the show, performed in a 360Âº theater.",Movie,"Action & Adventure, Dramas, International Movies"
Seven Souls in the Skull Castle Season Wind,"Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this âWindâ version of the dynamic show performed in a 360Âº theater.",Movie,"Action & Adventure, Dramas, International Movies"
Seven Sundays,"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late.",Movie,"Comedies, Dramas, International Movies"
Seventeen,"To find his therapy dog, a 17-year-old escapes from juvie and embarks on a journey of reconnection with his brother and grandmother through Cantabria.",Movie,"Comedies, Dramas, International Movies"
Seventh Son,"In the 18th century, apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes.",Movie,"Action & Adventure, Sci-Fi & Fantasy"
Sex Drive,"Eager to hook up with a woman he met online, 18-year-old Ian embarks on an epic road trip that speeds straight toward trouble in this raunchy comedy.",Movie,Comedies
Sex Education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",TV Show,"British TV Shows, International TV Shows, TV Comedies"
Sex Explained,"From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",TV Show,"Docuseries, Science & Nature TV"
SexLife,A woman's daring sexual past collides with her married-with-kids present when the bad-boy ex she can't stop fantasizing about crashes back into her life.,TV Show,"Romantic TV Shows, TV Dramas"
Sexify,"To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy.",TV Show,"International TV Shows, TV Comedies, TV Dramas"
Sextuplets,"When a dad-to-be learns he's actually a sextuplet, he sets off on a wild journey to meet his long-lost family. Marlon Wayans stars as all six siblings.",Movie,Comedies
Sexy Central,"In the bustling center of Hong Kong, five young women reckon with betrayal, unrequited love and other matters of the heart.",TV Show,"International TV Shows, Romantic TV Shows, TV Dramas"
Shabd,"When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and his real life grows disconcertingly blurry.",Movie,"Dramas, International Movies, Romantic Movies"
Shadow,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.",Movie,"Action & Adventure, Dramas, International Movies"
Shadow,"Haunted by a tragic loss, an ex-cop with a rare inability to feel pain strikes out on his own to catch offenders who've eluded Johannesburg police.",TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Shadow and Bone,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,TV Show,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
Shadow and Bone  The Afterparty,"Stars of Netflix's ""Shadow and Bone"" discuss the show's epic combat scenes, answer some fan questions and play an ""Army vs. Crows"" trivia game.",Movie,"Action & Adventure, Comedies, Dramas"
Shaitan,"When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.",Movie,"Action & Adventure, Dramas, Independent Movies"
Shameless US,This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.,TV Show,"TV Comedies, TV Dramas"
Shanghai Fortress,A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source.,Movie,"Dramas, International Movies, Romantic Movies"
Shark Busters,"Hit by a media storm over his own mounting debts, a police officer leads an investigation against the loan sharks behind a sinister credit scheme.",Movie,"Dramas, International Movies"
Shattered Memories,"When her former lover's mysteriously murdered, a woman must clear her name â and avoid the killer.",Movie,"Dramas, Thrillers"
Shaun the Sheep,"Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley.",TV Show,"British TV Shows, Kids' TV, TV Comedies"
Shaun the Sheep Adventures from Mossy Bottom,"Clever sheep Shaun, loyal dog Bitzer and the rest of the Mossy Bottom gang cook up oodles of fun and mischief on the farm.",TV Show,"British TV Shows, Kids' TV, TV Comedies"
Shaun the Sheep The Farmers Llamas,"A trio of mischievous llamas from the county fair start making a mess of the farm, so Shaun and the flock must find a way to boot out the troublemakers.",Movie,"Children & Family Movies, Comedies"
Shawn Mendes In Wonder,"Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future.",Movie,"Documentaries, Music & Musicals"
Shawn Mendes Live in Concert,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans.",Movie,Music & Musicals
She,An undercover assignment to expose a drug ring becomes a timid Mumbai constableâs road to empowerment as she realizes her dormant sexuality's potential.,TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
She Is,"Under pressure from her family and friends to settle down, a successful and single woman searches for the right partner, refusing to settle for less.",Movie,"Dramas, International Movies, Romantic Movies"
She Made Me a Criminal,"In order to get her trust fund money from her wealthy but miserly father, a woman enlists a naive young man to help fake her own kidnapping.",Movie,"Comedies, International Movies"
SheRa and the Princesses of Power,"Soldier Adora finds a magic sword â and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.",TV Show,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
Shes Dating the Gangster,"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple.",Movie,"Dramas, International Movies, Romantic Movies"
Shes Gotta Have It,Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.,TV Show,"Romantic TV Shows, TV Comedies, TV Dramas"
Shes Gotta Have It,"A free-spirited woman can't choose between a trio of ill-suited suitors: relationship-minded Jamie, shallow male model Greer and bike messenger Mars.",Movie,"Classic Movies, Comedies, Independent Movies"
Shes Out of My League,"Kirk's a 5. His new girlfriend Molly's a 10. No one knows what she sees in him, including Kirk. Will his raging insecurities ruin this budding romance?",Movie,"Comedies, Romantic Movies"
Shes the One,"When his best friend gets stranded in the rain and becomes the subject of a romantic viral video, a morning show host must confront his true feelings.",Movie,"Dramas, International Movies, Romantic Movies"
Shhrazade,"Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp.",Movie,"Dramas, Independent Movies, International Movies"
Shelby American,"Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",Movie,"Documentaries, Sports Movies"
Shepherds and Butchers,"When a young prison guard commits murder in South Africa, an ardent lawyer aims to prove he was psychologically unbalanced by his role in executions.",Movie,"Dramas, International Movies"
Shikari,"When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise.",Movie,"Dramas, International Movies, Music & Musicals"
Shimla Mirchi,"A young man who gets tongue-tied around women writes a love letter to his crush, but it ends up in the hands of her mother, who thinks it's for her.",Movie,"Comedies, International Movies, Romantic Movies"
Shimmer Lake,"Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother.",Movie,"Dramas, Independent Movies, Thrillers"
Shine On with Reese,"In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",TV Show,"Docuseries, Stand-Up Comedy & Talk Shows"
Shine Your Eyes,"A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.",Movie,"Dramas, Independent Movies, International Movies"
Shirkers,"In 1992, Sandi Tan and her friends shot a quirky film on the streets of Singapore. Then the footage disappeared, sending her on a hunt for answers.",Movie,Documentaries
Shiva VS Autobots,"When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control, kid superhero Shiva must stop the chaos!",Movie,Children & Family Movies
Shiva Journey to Plunotaria,Young superhero Shiva must use his powers to thwart a scheming scientistâs plans to blast Earth with explosive pellets from planet Plunotaria.,Movie,Children & Family Movies
Shiva The Secret World Of Vedas City,"When the residents of Vedas are ordered to evacuate by a prince who claims the town as his own, young Shiva sets out to save the city and its citizens.",Movie,Children & Family Movies
Shonar Pahar,An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.,Movie,"Dramas, Independent Movies, International Movies"
Shooter,"A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder.",TV Show,"Crime TV Shows, TV Action & Adventure, TV Dramas"
Shopkins,"Tiny grocery store items come to life as the Shopkins, who have fun adventures with each other at Small Mart and the magical town called Shopville.",TV Show,Kids' TV
Shortcut Safari,Unexpected wildlife adventures and valuable life lessons await seven city kids when they suddenly become lost in the forest during a school field trip.,Movie,"Action & Adventure, Comedies, Dramas"
Shot Caller,"Trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",Movie,"Dramas, Thrillers"
Shot in the Dark,"Three rival freelance stringers scour the streets at night to film crime scenes, fires, accidents â and anything else they can sell to news outlets.",TV Show,Reality TV
Show Me the Money,Four ordinary family members find their lives turned upside down when they become overnight millionaires thanks to an unlikely benefactor.,TV Show,"International TV Shows, TV Comedies"
Shrek the Musical,"The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie.",Movie,"Children & Family Movies, Comedies, Music & Musicals"
Shtisel,"A Haredi family living in an ultra-Orthodox neighborhood of Jerusalem reckons with love, loss and the doldrums of daily life.",TV Show,"International TV Shows, TV Dramas"
Shubh Aarambh,"As her own wedding looms on the horizon, a marriage counselor strives to save her future in-laws' crumbling relationship.",Movie,"Dramas, International Movies, Romantic Movies"
Shutter,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",Movie,"Horror Movies, International Movies"
Shutter Island,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.,Movie,Thrillers
Si Doel the Movie,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",Movie,"Dramas, International Movies"
Si Doel the Movie 2,"As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go.",Movie,"Dramas, International Movies"
Si Doel the Movie 3,"Torn between reuniting with one family and leaving another behind, Doel must choose between the two women he loves.",Movie,"Dramas, International Movies, Music & Musicals"
Si saben cmo me pongo p qu me invitan,"When four unhappy couples attend a spiritual retreat at a resort to try and solve their relationship troubles, shenanigans ensue.",Movie,"Comedies, International Movies"
S Mi Amor,A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.,Movie,"Comedies, International Movies, Romantic Movies"
Sick Note,"After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure.",TV Show,"British TV Shows, International TV Shows, TV Comedies"
Sierra Burgess Is A Loser,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,Movie,"Comedies, Romantic Movies"
Sigaram Thodu,A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.,Movie,"Dramas, International Movies, Thrillers"
Sightless,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.,Movie,Thrillers
Signal,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows"
Signs,"When a young woman's murder shows similarities to a decade-old cold case, a new police commander must break the silence permeating an Owl Mountain town.",TV Show,"Crime TV Shows, International TV Shows, TV Dramas"
Silent,"""Silent"" is an animated short film created by Academy AwardÂ® winning Moonbot Studios. It celebrates how storytellers, inventors, and technology work together to create cinema magic.",Movie,"Children & Family Movies, Sci-Fi & Fantasy"
Sillu Karuppatti,"From first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film.",Movie,"Comedies, Dramas, Independent Movies"
Silvana Sin Lana,"When her fugitive husband leaves her homeless and penniless, a once-wealthy woman has no other choice but to join the working class.",TV Show,"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies"
Silver Linings Playbook,"A man with bipolar disorder moves home with his parents and makes a connection with a spirited widow, which helps both of them heal in unique ways.",Movie,"Comedies, Dramas, Independent Movies"
Silver Skates,"On the frozen rivers and canals of St. Petersburg, a petty thief on skates warms the heart of an aristocratâs daughter as forces try to keep them apart.",Movie,"Action & Adventure, Dramas, International Movies"
Silver Spoon,"Forced to become an apprentice cop, cocky playboy Igor finds he's got a knack for police work. But his job soon takes him down a dark personal path.",TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Simon,"With his vivid imagination, Simon the rabbit searches for fun while learning about the importance of responsibility and communication.",TV Show,Kids' TV
Simon Amstell Set Free,"Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.",Movie,Stand-Up Comedy
Simon Killer,"Young and heartbroken, a New Yorker travels to Paris to escape his romantic woes but is soon drawn into another all-consuming attraction.",Movie,"Dramas, Independent Movies, Thrillers"
Simplemente Manu NNa,Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal.,Movie,Stand-Up Comedy
Sin City,A busy couple tries to give their love life a boost by taking an impromptu weekend trip only to find their relationship tested in unexpected ways.,Movie,"International Movies, Thrillers"
Sin senos s hay paraso,"Born into a small town controlled by the mafia, an irate young woman seeks revenge on the forces that tore apart and wrongfully imprisoned her family.",TV Show,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Sinatra All or Nothing at All,"Legendary crooner Frank Sinatra's life and talent are captured in this documentary series featuring fond memories from friends, family and colleagues.",TV Show,Docuseries
Sincerely Yours Dhaka,Eleven emerging Bangladeshi filmmakers present a collection of gritty shorts centered on the capital city and the people living in its margins.,Movie,"Comedies, Dramas, Independent Movies"
Sing On,"In this fun, fast-paced music contest hosted by Tituss Burgess, players sing their hearts out and try to hit the right notes to win up to $60,000.",TV Show,Reality TV
Sing On Germany,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",TV Show,"International TV Shows, Reality TV"
Sing On Spain,"In this fast-paced, high-energy karaoke competition, singers from all walks of life battle it out for up to 30,000 euros!",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows"
Singapore,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Movie,"Comedies, Dramas, International Movies"
Singapore Social,"Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.",TV Show,"International TV Shows, Reality TV"
Singham,A police inspector kills himself after a powerful gangster frames him for corruption â but soon the thug faces the full force of cop Bajirao Singham.,Movie,"Action & Adventure, Dramas, International Movies"
